,ID_PRODUCTO,CODIGOPRINCIPAL,NOMBRE,PRECIOSINIVA,STOCK,BODEGA,CATEGORIA,COD_AUXILIAR,PESO,TIPO_SOLUCIONES,CONTROL_SERIES,SUBCATEGORIA,UNIDAD_MEDIDA,MARCA,MODELO,COSTO,ESTADO
45,538278,AC00833,ADAPTADOR TYPE-C A PUERTOS USB,31.25,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,AC00833,0,,NO,MACBOOK ,UNIDAD,,,0.0,ACTIVO
46,1028210,AC00891,ADAPTADOR TYPE-C A USB 1M MACBOOK,13.383929,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,AC00891,0,,NO,USB,UNIDAD,,,5.0,ACTIVO
47,1052401,AC00899,ADAPTADOR TYPE-C A USB 2M MACBOOK,22.321429,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,AC00899,0,,NO,MACBOOK ,UNIDAD,,,0.1,ACTIVO
48,1028212,AC00892,ADAPTADOR USB A TYPE-C IPAD / MACBOOK,13.383929,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,AC00892,0,,NO,USB,UNIDAD,,,4.46,ACTIVO
49,855934,MB00016,ADAPTADOR USB DE 4 PUERTOS USB 3.0,13.392857,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,MB00016,0,,NO,USB,UNIDAD,,,4.78,ACTIVO
50,165825,0006245,ADAPTADOR USB IPHONE 5W  ( OEM ),13.392857,2,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,6245,0,,NO,,UNIDAD,,,2.63,ACTIVO
51,1189768,CC00292,ADAPTADOR USB XIAOMI 3.0 CARGA RAPIDA OEM,11.160714,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,CC00292,0,,NO,CARGADOR,UNIDAD,,,0.0,ACTIVO
52,855935,MB00017,ADAPTADOR USB-C A GIGABIT ETHERNET,17.857143,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,MB00017,0,,NO,USB,UNIDAD,,,4.78,ACTIVO
53,1596448,CC00330,ADAPTADOR USB-C A USB-C SAMSUNG 65W DOS PUERTOS ( OEM ),31.241071,1,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,CC00330,0,,NO,CARGADOR,UNIDAD,,,7.77,ACTIVO
54,1189773,CC00293,ADAPTADOR USB-C SAMSUNG CARGA RAPIDA ( OEM ),11.160714,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,CC00293,0,,NO,CARGADOR,UNIDAD,,,0.0,ACTIVO
55,1841561,19098914408,ADAPTADOR USB-C TO DIGITAL AV ( ORI ),80.267857,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,19098914408,0,,NO,ADAPTADOR ,UNIDAD,,,26.7,ACTIVO
56,1143776,SE00019,ADECUACIONES & INMOBILIARIA LOCALES,0.0,0,B. X LEVEL L28,SERVICIOS,SE00019,0,,NO,X-LEVEL,UNIDAD,,,147.91,ACTIVO
57,170012,0005115,AGENDA 360 T-CUERO  SAMSUNG TAB A 7.0Â¨ T280 AZUL,20.535714,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0005115,0,,NO,,UNIDAD,,,12.0,ACTIVO
58,463318,ET00391,AGENDA 360 T-CUERO HUAWEI T3 9.6/10.1  CAFE,20.535714,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,ET00391,0,,NO,AGENDA 360,UNIDAD,,,4.0,ACTIVO
59,463316,ET00389,AGENDA 360 T-CUERO HUAWEI T3 9.6/10.1  FUCSIA,20.535714,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,ET00389,0,,NO,,UNIDAD,,,4.0,ACTIVO
60,463314,ET00387,AGENDA 360 T-CUERO HUAWEI T3 9.6/10.1  ROJO,20.535714,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,ET00387,0,,NO,AGENDA 360,UNIDAD,,,4.0,ACTIVO
61,463317,ET00390,AGENDA 360 T-CUERO HUAWEI T3 9.6/10.1 AZUL,20.535714,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,ET00390,0,,NO,,UNIDAD,,,4.0,ACTIVO
62,465132,ET00393,AGENDA 360 T-CUERO HUAWEI T3 9.6/10.1 NEGRO,20.535714,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,ET00393,0,,NO,,UNIDAD,,,8.95,ACTIVO
63,463315,ET00388,AGENDA 360 T-CUERO HUAWEI T3 9.6/10.1 ROSADO,20.535714,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,ET00388,0,,NO,AGENDA 360,UNIDAD,,,4.0,ACTIVO
64,1037516,MB00232,AGENDA 360 T-CUERO IPAD 10.2 7/8/9NA AZUL OSCURO,20.526,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,MB00232,0,,NO,,UNIDAD,,,2.02,ACTIVO
65,1037517,MB00233,AGENDA 360 T-CUERO IPAD 10.2 7/8/9NA MORADO,20.526,1,B. X LEVEL L28,ESTUCHES TABLET & IPADS,MB00233,0,,NO,,UNIDAD,,,2.02,ACTIVO
66,639966,ET00507,AGENDA 360 T-CUERO IPAD 10.2 7/8/9NA NEGRO,20.526,1,B. X LEVEL L28,ESTUCHES TABLET & IPADS,ET00507,0,,NO,CANVAS SERIES,UNIDAD,,,7.14,ACTIVO
67,1037515,MB00231,AGENDA 360 T-CUERO IPAD 10.2 7/8/9NA PALO DE ROSA,20.526,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,MB00231,0,,NO,,UNIDAD,,,7.59,ACTIVO
68,1558887,ET00800,AGENDA 360 T-CUERO IPAD 10TH 10.9 AZUL OSCURO,22.3214,1,B. X LEVEL L28,ESTUCHES TABLET & IPADS,ET00800,0,,NO,,UNIDAD,,,7.01,ACTIVO
69,1558886,ET00799,AGENDA 360 T-CUERO IPAD 10TH 10.9 FUCSIA,22.3214,1,B. X LEVEL L28,ESTUCHES TABLET & IPADS,ET00799,0,,NO,,UNIDAD,,,7.01,ACTIVO
70,1558888,ET00801,AGENDA 360 T-CUERO IPAD 10TH 10.9 MORADO,22.3214,1,B. X LEVEL L28,ESTUCHES TABLET & IPADS,ET00801,0,,NO,,UNIDAD,,,7.01,ACTIVO
71,1558885,ET00798,AGENDA 360 T-CUERO IPAD 10TH 10.9 NEGRO,22.3214,2,B. X LEVEL L28,ESTUCHES TABLET & IPADS,ET00798,0,,NO,,UNIDAD,,,7.01,ACTIVO
72,1558889,ET00802,AGENDA 360 T-CUERO IPAD 10TH 10.9 ROSADO,22.3214,1,B. X LEVEL L28,ESTUCHES TABLET & IPADS,ET00802,0,,NO,,UNIDAD,,,7.01,ACTIVO
73,1037510,MB00226,AGENDA 360 T-CUERO IPAD 2/3/4 AZUL OSCURO,20.535714,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,MB00226,0,,NO,,UNIDAD,,,2.14,ACTIVO
74,1037511,MB00227,AGENDA 360 T-CUERO IPAD 2/3/4 MORADO,20.535714,1,B. X LEVEL L28,ESTUCHES TABLET & IPADS,MB00227,0,,NO,,UNIDAD,,,2.14,ACTIVO
75,169848,0006376,AGENDA 360 T-CUERO IPAD 2/3/4 NEGRO,20.535714,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0006376,0,,NO,,UNIDAD,,,8.95,ACTIVO
76,169847,0007005,AGENDA 360 T-CUERO IPAD 2/3/4 PALO DE ROSA,20.535714,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0007005,0,,NO,,UNIDAD,,,8.95,ACTIVO
77,1037509,MB00225,AGENDA 360 T-CUERO IPAD 2/3/4 PALO DE ROSA,20.535714,1,B. X LEVEL L28,ESTUCHES TABLET & IPADS,MB00225,0,,NO,,UNIDAD,,,2.14,ACTIVO
78,169846,0007004,AGENDA 360 T-CUERO IPAD 2/3/4 ROJO,20.535714,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0007004,0,,NO,,UNIDAD,,,8.95,ACTIVO
79,169880,0009070,AGENDA 360 T-CUERO IPAD AIR 2 9.7 FUCSIA,20.52,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0009070,0,,NO,,UNIDAD,,,8.95,ACTIVO
80,169881,0009072,AGENDA 360 T-CUERO IPAD AIR 2 9.7 NEGRO,20.52,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0009072,0,,NO,,UNIDAD,,,8.5,ACTIVO
81,169882,0009071,AGENDA 360 T-CUERO IPAD AIR 2 9.7 PURPURA,20.52,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0009071,0,,NO,,UNIDAD,,,8.95,ACTIVO
82,375113,ET00325,AGENDA 360 T-CUERO IPAD AIR 2 9.7 ROJO,20.535714,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,ET00325,0,,NO,,UNIDAD,,,12.0,ACTIVO
83,169952,0010144,AGENDA 360 T-CUERO IPAD AIR 3 / PRO 10.5 AZUL,20.535714,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0010144,0,,NO,,UNIDAD,,,8.95,ACTIVO
84,169953,0010141,AGENDA 360 T-CUERO IPAD AIR 3 / PRO 10.5 NEGRO,20.535714,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0010141,0,,NO,,UNIDAD,,,12.0,ACTIVO
85,169966,0006379,AGENDA 360 T-CUERO IPAD AIR 4 / 5 10.9 AZUL OSCURO,20.535714,1,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0006379,0,,NO,,UNIDAD,,,12.0,ACTIVO
86,169967,0006378,AGENDA 360 T-CUERO IPAD AIR 4 / 5 10.9 NEGRO,20.535714,1,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0006378,0,,NO,,UNIDAD,,,12.0,ACTIVO
87,639977,ET00509,AGENDA 360 T-CUERO IPAD AIR 4 / 5 10.9 ROJO,20.535714,2,B. X LEVEL L28,ESTUCHES TABLET & IPADS,ET00509,0,,NO,AGENDA 360,UNIDAD,,,8.95,ACTIVO
88,169867,0011140,AGENDA 360 T-CUERO IPAD AIR 9.7 AZUL,20.52,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0011140,0,,NO,,UNIDAD,,,8.95,ACTIVO
89,169868,0011141,AGENDA 360 T-CUERO IPAD AIR 9.7 NEGRO,20.52,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0011141,0,,NO,,UNIDAD,,,8.95,ACTIVO
90,169869,0012552,AGENDA 360 T-CUERO IPAD AIR 9.7 ROJO,20.52,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0012552,0,,NO,,UNIDAD,,,8.95,ACTIVO
91,169870,0011142,AGENDA 360 T-CUERO IPAD AIR 9.7 ROSADO,20.52,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0011142,0,,NO,,UNIDAD,,,8.95,ACTIVO
92,1037504,MB00220,AGENDA 360 T-CUERO IPAD MINI 1 2 3 AZUL OSCURO,20.53,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,MB00220,0,,NO,,UNIDAD,,,1.91,ACTIVO
93,169891,0007011,AGENDA 360 T-CUERO IPAD MINI 1 2 3 FUCSIA,20.53,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0007011,0,,NO,,UNIDAD,,,12.0,ACTIVO
94,1037505,MB00221,AGENDA 360 T-CUERO IPAD MINI 1 2 3 MORADO,20.53,1,B. X LEVEL L28,ESTUCHES TABLET & IPADS,MB00221,0,,NO,,UNIDAD,,,1.91,ACTIVO
95,169892,0006377,AGENDA 360 T-CUERO IPAD MINI 1 2 3 NEGRO,20.53,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0006377,0,,NO,,UNIDAD,,,12.0,ACTIVO
96,1037503,MB00219,AGENDA 360 T-CUERO IPAD MINI 1 2 3 PALO DE ROSA,20.53,1,B. X LEVEL L28,ESTUCHES TABLET & IPADS,MB00219,0,,NO,,UNIDAD,,,1.91,ACTIVO
97,169890,0007012,AGENDA 360 T-CUERO IPAD MINI 1 2 3 ROJO,20.53,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0007012,0,,NO,,UNIDAD,,,12.0,ACTIVO
98,1037507,MB00223,AGENDA 360 T-CUERO IPAD MINI 4 AZUL OSCURO,20.53,1,B. X LEVEL L28,ESTUCHES TABLET & IPADS,MB00223,0,,NO,,UNIDAD,,,2.07,ACTIVO
99,169905,0007017,AGENDA 360 T-CUERO IPAD MINI 4 FUCSIA,20.53,2,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0007017,0,,NO,,UNIDAD,,,12.0,ACTIVO
100,1037508,MB00224,AGENDA 360 T-CUERO IPAD MINI 4 MORADO,20.53,1,B. X LEVEL L28,ESTUCHES TABLET & IPADS,MB00224,0,,NO,,UNIDAD,,,2.07,ACTIVO
101,169906,0007014,AGENDA 360 T-CUERO IPAD MINI 4 NEGRO,20.53,2,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0007014,0,,NO,,UNIDAD,,,8.95,ACTIVO
102,1037506,MB00222,AGENDA 360 T-CUERO IPAD MINI 4 PALO DE ROSA,20.53,1,B. X LEVEL L28,ESTUCHES TABLET & IPADS,MB00222,0,,NO,,UNIDAD,,,2.07,ACTIVO
103,169904,0007015,AGENDA 360 T-CUERO IPAD MINI 4 SALMÃ“N,20.53,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0007015,0,,NO,,UNIDAD,,,12.0,ACTIVO
104,1457867,ET00754,AGENDA 360 T-CUERO IPAD MINI 6 NEGRO,20.53,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,ET00754,0,,NO,,UNIDAD,,,7.59,ACTIVO
105,1037513,MB00229,AGENDA 360 T-CUERO IPAD NEW 9.7 6TA AZUL OSCURO,20.526,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,MB00229,0,,NO,,UNIDAD,,,1.82,ACTIVO
106,1037514,MB00230,AGENDA 360 T-CUERO IPAD NEW 9.7 6TA MORADO,20.526,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,MB00230,0,,NO,,UNIDAD,,,1.82,ACTIVO
107,169925,0010092,AGENDA 360 T-CUERO IPAD NEW 9.7 6TA NEGRO,20.526,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0010092,0,,NO,,UNIDAD,,,12.0,ACTIVO
108,1037512,MB00228,AGENDA 360 T-CUERO IPAD NEW 9.7 6TA PALO DE ROSA,20.526,1,B. X LEVEL L28,ESTUCHES TABLET & IPADS,MB00228,0,,NO,,UNIDAD,,,1.82,ACTIVO
109,169926,0005077,AGENDA 360 T-CUERO IPAD NEW 9.7 6TA ROJO,20.526,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0005077,0,,NO,,UNIDAD,,,12.0,ACTIVO
110,169923,0005079,AGENDA 360 T-CUERO IPAD NEW 9.7 6TA ROJO,20.526,1,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0005079,0,,NO,,UNIDAD,,,13.0,ACTIVO
111,169927,0011150,AGENDA 360 T-CUERO IPAD NEW 9.7 6TA ROSADO,20.526,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0011150,0,,NO,,UNIDAD,,,12.0,ACTIVO
112,169924,0007002,AGENDA 360 T-CUERO IPAD NEW 9.7 6TA SALMÃ“N,20.526,0,B. X LEVEL L28,ESTUCHES TABLET & IPADS,0007002,0,,NO,,UNIDAD,,,8.95,ACTIVO
113,1037519,MB00235,AGENDA 360 T-CUERO IPAD PRO 11 2019-2022 AZUL OSCURO,20.526,1,B. X LEVEL L28,ESTUCHES TABLET & IPADS,MB00235,0,,NO,,UNIDAD,,,2.01,ACTIVO
114,1037520,MB00236,AGENDA 360 T-CUERO IPAD PRO 11 2019-2022 MORADO,20.526,1,B. X LEVEL L28,ESTUCHES TABLET & IPADS,MB00236,0,,NO,,UNIDAD,,,2.01,ACTIVO
115,639971,ET00508,AGENDA 360 T-CUERO IPAD PRO 11 2019-2022 NEGRO,20.526,2,B. X LEVEL L28,ESTUCHES TABLET & IPADS,ET00508,0,,NO,AGENDA 360,UNIDAD,,,7.14,ACTIVO
116,1037518,MB00234,AGENDA 360 T-CUERO IPAD PRO 11 2019-2022 PALO DE ROSA,20.526,1,B. X LEVEL L28,ESTUCHES TABLET & IPADS,MB00234,0,,NO,,UNIDAD,,,2.01,ACTIVO
